,years,Ndiscoveries
0,1801,1
1,1802,0
2,1803,0
3,1804,2
4,1805,0
5,1806,0
6,1807,0
7,1808,0
8,1809,0
9,1810,0
10,1811,0
11,1812,0
12,1813,0
13,1814,0
14,1815,0
15,1816,0
16,1817,0
17,1818,0
18,1819,0
19,1820,0
20,1821,1
21,1822,1
22,1823,0
23,1824,0
24,1825,0
25,1826,0
26,1827,0
27,1828,0
28,1829,0
29,1830,0
30,1831,0
31,1832,0
32,1833,0
33,1834,0
34,1835,0
35,1836,0
36,1837,0
37,1838,0
38,1839,0
39,1840,0
40,1841,0
41,1842,0
42,1843,0
43,1844,0
44,1845,1
45,1846,0
46,1847,1
47,1848,2
48,1849,1
49,1850,3
50,1851,2
51,1852,4
52,1853,2
53,1854,1
54,1855,2
55,1856,7
56,1857,1
57,1858,0
58,1859,1
59,1860,8
60,1861,9
61,1862,0
62,1863,6
63,1864,14
64,1865,8
65,1866,9
66,1867,0
67,1868,2
68,1869,1
69,1870,7
70,1871,7
71,1872,14
72,1873,3
73,1874,0
74,1875,4
75,1876,9
76,1877,9
77,1878,0
78,1879,16
79,1880,21
80,1881,1
81,1882,4
82,1883,1
83,1884,8
84,1885,26
85,1886,5
86,1887,0
87,1888,0
88,1889,1
89,1890,7
90,1891,19
91,1892,28
92,1893,33
93,1894,21
94,1895,8
95,1896,3
96,1897,8
97,1898,21
98,1899,24
99,1900,23
100,1901,31
101,1902,39
102,1903,42
103,1904,51
104,1905,52
105,1906,110
106,1907,69
107,1908,57
108,1909,42
109,1910,18
110,1911,19
111,1912,8
112,1913,27
113,1914,17
114,1915,42
115,1916,45
116,1917,31
117,1918,26
118,1919,16
119,1920,32
120,1921,27
121,1922,14
122,1923,30
123,1924,45
124,1925,26
125,1926,50
126,1927,33
127,1928,61
128,1929,114
129,1930,123
130,1931,212
131,1932,73
132,1933,134
133,1934,85
134,1935,92
135,1936,81
136,1937,61
137,1938,115
138,1939,73
139,1940,52
140,1941,60
141,1942,86
142,1943,49
143,1944,11
144,1945,3
145,1946,12
146,1947,17
147,1948,54
148,1949,370
149,1950,603
150,1951,826
151,1952,300
152,1953,844
153,1954,1045
154,1955,792
155,1956,133
156,1957,75
157,1958,85
158,1959,67
159,1960,4888
160,1961,56
161,1962,87
162,1963,38
163,1964,88
164,1965,53
165,1966,58
166,1967,41
167,1968,95
168,1969,231
169,1970,132
170,1971,1316
171,1972,265
172,1973,1539
173,1974,404
174,1975,549
175,1976,1255
176,1977,2635
177,1978,1529
178,1979,1295
179,1980,973
180,1981,1924
181,1982,1370
182,1983,996
183,1984,715
184,1985,540
185,1986,989
186,1987,1131
187,1988,1176
188,1989,1870
189,1990,4925
190,1991,12653
191,1992,12314
192,1993,17033
193,1994,19921
194,1995,28078
195,1996,23369
196,1997,22461
197,1998,43024
198,1999,48889
199,2000,71429
200,2001,76070
201,2002,68538
202,2003,75807
203,2004,57739
204,2005,77202
205,2006,69523
206,2007,62318
207,2008,63773
208,2009,43979
209,2010,47598
210,2011,48158
211,2012,38526
212,2013,36433
213,2014,44591
214,2015,43343
215,2016,29315
216,2017,20925
217,2018,9831
218,2019,18750
219,2020,17240
220,2021,21751
221,2022,19320
222,2023,15606
223,2024,381
